rid;time;value
51093185;2017-02-02 21:35:00;1
0;2017-02-02 21:40:00;0
51093337;2017-02-02 21:45:00;1
0;2017-02-02 21:50:00;0
0;2017-02-02 21:55:00;0
0;2017-02-02 22:00:00;0
51093865;2017-02-02 22:05:00;2
0;2017-02-02 22:10:00;0
0;2017-02-02 22:15:00;0
0;2017-02-02 22:20:00;0
0;2017-02-02 22:25:00;0
51094542;2017-02-02 22:30:00;1
0;2017-02-02 22:35:00;0
0;2017-02-02 22:40:00;0
0;2017-02-02 22:45:00;0
51095139;2017-02-02 22:50:00;1
51095227;2017-02-02 22:55:00;1
0;2017-02-02 23:00:00;0
0;2017-02-02 23:05:00;0
0;2017-02-02 23:10:00;0
0;2017-02-02 23:15:00;0
0;2017-02-02 23:20:00;0
51095833;2017-02-02 23:25:00;1
0;2017-02-02 23:30:00;0
0;2017-02-02 23:35:00;0
51096188;2017-02-02 23:40:00;1
0;2017-02-02 23:45:00;0
0;2017-02-02 23:50:00;0
0;2017-02-02 23:55:00;0
0;2017-02-03 00:00:00;0
0;2017-02-03 00:05:00;0
51096726;2017-02-03 00:10:00;1
0;2017-02-03 00:15:00;0
0;2017-02-03 00:20:00;0
0;2017-02-03 00:25:00;0
51097059;2017-02-03 00:30:00;2
0;2017-02-03 00:35:00;0
0;2017-02-03 00:40:00;0
0;2017-02-03 00:45:00;0
0;2017-02-03 00:50:00;0
0;2017-02-03 00:55:00;0
0;2017-02-03 01:00:00;0
0;2017-02-03 01:05:00;0
0;2017-02-03 01:10:00;0
0;2017-02-03 01:15:00;0
0;2017-02-03 01:20:00;0
0;2017-02-03 01:25:00;0
0;2017-02-03 01:30:00;0
0;2017-02-03 01:35:00;0
0;2017-02-03 01:40:00;0
0;2017-02-03 01:45:00;0
0;2017-02-03 01:50:00;0
0;2017-02-03 01:55:00;0
0;2017-02-03 02:00:00;0
0;2017-02-03 02:05:00;0
51097949;2017-02-03 02:10:00;1
51097996;2017-02-03 02:15:00;1
0;2017-02-03 02:20:00;0
0;2017-02-03 02:25:00;0
0;2017-02-03 02:30:00;0
51098126;2017-02-03 02:35:00;1
0;2017-02-03 02:40:00;0
0;2017-02-03 02:45:00;0
0;2017-02-03 02:50:00;0
0;2017-02-03 02:55:00;0
0;2017-02-03 03:00:00;0
0;2017-02-03 03:05:00;0
51098645;2017-02-03 03:10:00;1
0;2017-02-03 03:15:00;0
0;2017-02-03 03:20:00;0
0;2017-02-03 03:25:00;0
0;2017-02-03 03:30:00;0
0;2017-02-03 03:35:00;0
0;2017-02-03 03:40:00;0
0;2017-02-03 03:45:00;0
0;2017-02-03 03:50:00;0
51098782;2017-02-03 03:55:00;3
0;2017-02-03 04:00:00;0
0;2017-02-03 04:05:00;0
51098812;2017-02-03 04:10:00;1
0;2017-02-03 04:15:00;0
0;2017-02-03 04:20:00;0
0;2017-02-03 04:25:00;0
0;2017-02-03 04:30:00;0
0;2017-02-03 04:35:00;0
51098909;2017-02-03 04:40:00;3
0;2017-02-03 04:45:00;0
0;2017-02-03 04:50:00;0
0;2017-02-03 04:55:00;0
0;2017-02-03 05:00:00;0
0;2017-02-03 05:05:00;0
51099073;2017-02-03 05:10:00;1
0;2017-02-03 05:15:00;0
51099097;2017-02-03 05:20:00;1
0;2017-02-03 05:25:00;0
0;2017-02-03 05:30:00;0
0;2017-02-03 05:35:00;0
0;2017-02-03 05:40:00;0
0;2017-02-03 05:45:00;0
0;2017-02-03 05:50:00;0
0;2017-02-03 05:55:00;0
0;2017-02-03 06:00:00;0
0;2017-02-03 06:05:00;0
0;2017-02-03 06:10:00;0
0;2017-02-03 06:15:00;0
0;2017-02-03 06:20:00;0
0;2017-02-03 06:25:00;0
51099590;2017-02-03 06:30:00;1
0;2017-02-03 06:35:00;0
0;2017-02-03 06:40:00;0
0;2017-02-03 06:45:00;0
0;2017-02-03 06:50:00;0
0;2017-02-03 06:55:00;0
0;2017-02-03 07:00:00;0
0;2017-02-03 07:05:00;0
0;2017-02-03 07:10:00;0
51099949;2017-02-03 07:15:00;1
0;2017-02-03 07:20:00;0
0;2017-02-03 07:25:00;0
0;2017-02-03 07:30:00;0
0;2017-02-03 07:35:00;0
0;2017-02-03 07:40:00;0
0;2017-02-03 07:45:00;0
51100349;2017-02-03 07:50:00;3
51100519;2017-02-03 07:55:00;1
51100534;2017-02-03 08:00:00;1
51100680;2017-02-03 08:05:00;2
51100891;2017-02-03 08:10:00;1
51100927;2017-02-03 08:15:00;2
51101080;2017-02-03 08:20:00;3
51101209;2017-02-03 08:25:00;1
51101474;2017-02-03 08:30:00;5
51101725;2017-02-03 08:35:00;4
51101953;2017-02-03 08:40:00;2
51102118;2017-02-03 08:45:00;3
51102510;2017-02-03 08:50:00;4
51102766;2017-02-03 08:55:00;4
51103120;2017-02-03 09:00:00;3
51103451;2017-02-03 09:05:00;2
51103658;2017-02-03 09:10:00;8
51103994;2017-02-03 09:15:00;4
51104342;2017-02-03 09:20:00;4
51104579;2017-02-03 09:25:00;5
51104965;2017-02-03 09:30:00;2
51105046;2017-02-03 09:35:00;2
51105340;2017-02-03 09:40:00;10
51105681;2017-02-03 09:45:00;2
51105788;2017-02-03 09:50:00;4
51106039;2017-02-03 09:55:00;6
51106415;2017-02-03 10:00:00;2
51106584;2017-02-03 10:05:00;6
51107047;2017-02-03 10:10:00;3
51107150;2017-02-03 10:15:00;3
51107398;2017-02-03 10:20:00;6
51107670;2017-02-03 10:25:00;2
51107964;2017-02-03 10:30:00;6
51108183;2017-02-03 10:35:00;3
51108393;2017-02-03 10:40:00;6
51108637;2017-02-03 10:45:00;5
51108893;2017-02-03 10:50:00;5
51109225;2017-02-03 10:55:00;7
51109618;2017-02-03 11:00:00;3
51109770;2017-02-03 11:05:00;3
51110232;2017-02-03 11:10:00;3
51110470;2017-02-03 11:15:00;12
51111095;2017-02-03 11:20:00;1
51111218;2017-02-03 11:25:00;3
51111414;2017-02-03 11:30:00;4
51111707;2017-02-03 11:35:00;3
51112145;2017-02-03 11:40:00;6
51112262;2017-02-03 11:45:00;7
51112547;2017-02-03 11:50:00;4
51112886;2017-02-03 11:55:00;3
51113131;2017-02-03 12:00:00;1
51113677;2017-02-03 12:05:00;2
51113759;2017-02-03 12:10:00;3
51114123;2017-02-03 12:15:00;1
0;2017-02-03 12:20:00;0
51114426;2017-02-03 12:25:00;1
51114652;2017-02-03 12:30:00;4
51114991;2017-02-03 12:35:00;1
51115332;2017-02-03 12:40:00;1
51115444;2017-02-03 12:45:00;2
51115721;2017-02-03 12:50:00;6
51116001;2017-02-03 12:55:00;1
51116208;2017-02-03 13:00:00;7
51116566;2017-02-03 13:05:00;2
51116887;2017-02-03 13:10:00;7
51117159;2017-02-03 13:15:00;7
51117678;2017-02-03 13:20:00;2
51117878;2017-02-03 13:25:00;4
51118073;2017-02-03 13:30:00;5
51118408;2017-02-03 13:35:00;3
51118651;2017-02-03 13:40:00;6
51119130;2017-02-03 13:45:00;3
51119404;2017-02-03 13:50:00;5
51119682;2017-02-03 13:55:00;4
51119958;2017-02-03 14:00:00;4
51120308;2017-02-03 14:05:00;3
51120561;2017-02-03 14:10:00;5
51120823;2017-02-03 14:15:00;3
51121236;2017-02-03 14:20:00;6
51121493;2017-02-03 14:25:00;8
51121784;2017-02-03 14:30:00;2
51122218;2017-02-03 14:35:00;1
51122296;2017-02-03 14:40:00;7
51122951;2017-02-03 14:45:00;5
51123081;2017-02-03 14:50:00;4
51123286;2017-02-03 14:55:00;5
51123692;2017-02-03 15:00:00;4
51124096;2017-02-03 15:05:00;1
51124319;2017-02-03 15:10:00;3
51124666;2017-02-03 15:15:00;4
51124774;2017-02-03 15:20:00;3
51125137;2017-02-03 15:25:00;1
51125272;2017-02-03 15:30:00;2
51125561;2017-02-03 15:35:00;5
51125943;2017-02-03 15:40:00;5
51126068;2017-02-03 15:45:00;1
51126346;2017-02-03 15:50:00;5
